3.096282372598158084e-02,5.000000000000000000e+00
5.253237259816206928e-01,7.000000000000000000e+00
6.183688387635756234e-01,6.000000000000000000e+00
3.292084377610692281e-01,3.000000000000000000e+00
1.770050125313283873e-01,4.000000000000000000e+00
1.613930659983291438e-01,5.000000000000000000e+00
3.471177944862157139e-01,3.000000000000000000e+00
3.812656641604010854e-01,9.000000000000000000e+00
2.779344193817878672e-01,4.000000000000000000e+00
1.012949039264821049e-02,4.000000000000000000e+00
