7.492690058479534176e-02 7.000000000000000000e+00
5.308583959899748628e-01 6.000000000000000000e+00
8.229949874686717237e-01 4.000000000000000000e+00
6.685463659147868887e-01 3.000000000000000000e+00
2.001879699248121369e-01 4.000000000000000000e+00
7.753759398496240518e-02 3.000000000000000000e+00
1.031276106934001735e+00 4.000000000000000000e+00
2.045217209690893823e-01 4.000000000000000000e+00
7.377819548872188715e-02 2.000000000000000000e+00
3.905597326649956624e-02 3.000000000000000000e+00
