4.236111111111110494e-01,4.900000000000000000e+01
2.995196324143693190e+00,4.700000000000000000e+01
5.435515873015872579e+00,4.600000000000000000e+01
5.610066833751043092e+00,4.500000000000000000e+01
2.335682957393484749e+00,5.500000000000000000e+01
2.169799498746867172e+00,5.200000000000000000e+01
8.712458228905594737e+00,5.500000000000000000e+01
2.847953216374269125e+00,5.200000000000000000e+01
2.431547619047618181e+00,3.900000000000000000e+01
8.141708437761070449e-01,6.000000000000000000e+01
