"filename", "language", "JavaScript", "Vue.js", "Less", "Markdown", "JSON", "XML", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\zyq\Desktop\我的网站\(前端)man\views\trainingResults.vue", "Vue.js", 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\zyq\Desktop\我的网站\(前端)man\views\treeShow.vue", "Vue.js", 0, 57, 0, 0, 0, 0, 0, 0, 0, 1, 58
"c:\Users\zyq\Desktop\我的网站\(前端)man\views\tree\index.vue", "Vue.js", 0, 349, 0, 0, 0, 0, 0, 0, 31, 11, 391
"c:\Users\zyq\Desktop\我的网站\(前端)man\views\uploadExcel.vue", "Vue.js", 0, 264, 0, 0, 0, 0, 0, 0, 19, 3, 286
"c:\Users\zyq\Desktop\我的网站\(前端)man\views\uploadVideo.vue", "Vue.js", 0, 162, 0, 0, 0, 0, 0, 0, 6, 1, 169
"c:\Users\zyq\Desktop\我的网站\(前端)man\views\user\index.vue", "Vue.js", 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\zyq\Desktop\我的网站\(前端)man\views\videoInfo.vue", "Vue.js", 0, 63, 0, 0, 0, 0, 0, 0, 5, 8, 76
"c:\Users\zyq\Desktop\我的网站\(前端)man\views\videoSearch.vue", "Vue.js", 0, 144, 0, 0, 0, 0, 0, 0, 8, 2, 154
"c:\Users\zyq\Desktop\我的网站\(前端)man\vue.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 3, 1, 11
"Total", "-", 2446, 2498, 79, 19, 29280, 295, 20, 1, 238, 195, 35071
